statement,status
Feeling happy and motivated today.,Normal
Just relaxed with family over dinner.,Normal
I love how peaceful everything feels.,Normal
Laughing with friends made my day.,Normal
Woke up feeling fresh and energetic.,Normal
"Loved the sunset today, felt so calm.",Normal
It's so hard to get out of bed these days.,Depression
I feel completely hopeless sometimes.,Depression
Nothing seems exciting anymore.,Depression
I keep crying without a reason.,Depression
I feel stuck and lost.,Depression
I'm so overwhelmed by my emotions.,Depression
I'm so nervous about tomorrow.,Anxiety
My heart races whenever I think about it.,Anxiety
I can't stop worrying about small things.,Anxiety
Overthinking every single detail.,Anxiety
Butterflies in my stomach all the time.,Anxiety
Fear of failure is eating me inside.,Anxiety
"Too many assignments, I feel overloaded.",Stress
I can't sleep because of work pressure.,Stress
Deadlines are making me anxious and tired.,Stress
I can't focus due to constant pressure.,Stress
I have too many things to juggle.,Stress
I'm tired of running behind tasks.,Stress
I feel like giving up on everything.,Suicidal
I don't see a point in continuing.,Suicidal
Life feels unbearable sometimes.,Suicidal
I feel like ending all this pain.,Suicidal
I'm tired of fighting alone.,Suicidal
It would be better if I wasn't here.,Suicidal
"I am happy today",Normal
"Feeling really low",Depression
"I'm so stressed",Stress
"Everything feels fine",Normal
"I can't stop worrying",Anxiety
"Life is good",Normal
"I feel empty",Depression
"I can't breathe properly",Anxiety
"Deadlines are killing me",Stress
"I am okay",Normal
"I'm so tired of everything",Depression
"I have too much to do",Stress
"Feeling nervous all day",Anxiety
"Smiling without a reason",Normal
"I want to cry",Depression
"Panic hits me suddenly",Anxiety
"Working hard today",Normal
"Crying again",Depression
"I hate everything",Depression
"I have no energy",Depression
"Too much pressure at work",Stress
"Breathing feels heavy",Anxiety
"I feel peaceful",Normal
"Why do I feel so sad?",Depression
"I feel like running away",Stress
"I don't trust anyone",Anxiety
"Happy moments today",Normal
"Life feels pointless",Depression
"Exams stressing me out",Stress
"Overthinking again",Anxiety
"Relaxing at home",Normal
"I feel dead inside",Depression
"Heart keeps racing",Anxiety
"Work is overwhelming",Stress
"Enjoyed my walk",Normal
"Lost all hope",Depression
"Feeling so restless",Anxiety
"Can't sleep well",Stress
"Good vibes only",Normal
"No motivation left",Depression
"Shaking with anxiety",Anxiety
"Tasks are never-ending",Stress
"I love my family",Normal
"I just want to disappear",Suicidal
"Feeling like a burden",Depression
"Need to escape everything",Suicidal
"Constant chest pain",Anxiety
"Tired but happy",Normal
"I'm falling apart",Depression
"Dead inside but smiling",Depression
"Every noise scares me",Anxiety
